uuid;default;account_amount_added_12_24m;account_days_in_dc_12_24m;account_days_in_rem_12_24m;account_days_in_term_12_24m;account_incoming_debt_vs_paid_0_24m;account_status;account_worst_status_0_3m;account_worst_status_12_24m;account_worst_status_3_6m;account_worst_status_6_12m;age;avg_payment_span_0_12m;avg_payment_span_0_3m;merchant_category;merchant_group;has_paid;max_paid_inv_0_12m;max_paid_inv_0_24m;name_in_email;num_active_div_by_paid_inv_0_12m;num_active_inv;num_arch_dc_0_12m;num_arch_dc_12_24m;num_arch_ok_0_12m;num_arch_ok_12_24m;num_arch_rem_0_12m;num_arch_written_off_0_12m;num_arch_written_off_12_24m;num_unpaid_bills;status_last_archived_0_24m;status_2nd_last_archived_0_24m;status_3rd_last_archived_0_24m;status_max_archived_0_6_months;status_max_archived_0_12_months;status_max_archived_0_24_months;recovery_debt;sum_capital_paid_account_0_12m;sum_capital_paid_account_12_24m;sum_paid_inv_0_12m;time_hours;worst_status_active_inv
63f69b2c-8b1c-4740-b78d-52ed9a4515ac;0;0;0;0;0;0;1;1;NA;1;NA;20;12.6923076923;8.3333333333;Dietary supplements;Health & Beauty;TRUE;31638;31638;no_match;0.1538461538;2;0;0;13;14;0;0;0;2;1;1;1;1;1;1;0;0;0;178839;9.6533333333;1
0e961183-8c15-4470-9a5e-07a1bd207661;0;0;0;0;0;NA;1;1;1;1;1;50;25.8333333333;25;Books & Magazines;Entertainment;TRUE;13749;13749;F+L;0;0;0;0;9;19;3;0;0;0;1;1;1;1;2;2;0;0;0;49014;13.1813888889;NA
d8edaae6-4368-44e0-941e-8328f203e64e;0;0;0;0;0;NA;NA;NA;NA;NA;NA;22;20;18;Diversified entertainment;Entertainment;TRUE;29890;29890;L1+F;0.0714285714;1;0;0;11;0;3;0;0;1;1;1;1;1;2;2;0;0;0;124839;11.5619444444;1
0095dfb6-a886-4e2a-b056-15ef45fdb0ef;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;4.6875;4.8888888889;Diversified entertainment;Entertainment;TRUE;40040;40040;F1+L;0.03125;1;0;0;31;21;0;0;0;1;1;1;1;1;1;1;0;0;0;324676;15.7511111111;1
c8f8b835-5647-4506-bf15-49105d8af30b;0;0;0;0;0;NA;NA;NA;NA;NA;NA;25;13;13;Electronic equipment & Related accessories;Electronics;TRUE;7100;7100;F+L;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;7100;12.6986111111;NA
0c266e3c-910f-49c1-af6f-32b7c492eb58;0;0;0;0;0;NA;NA;NA;NA;NA;NA;18;NA;NA;Dietary supplements;Health & Beauty;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;18.3283333333;NA
29b7e418-f057-44fc-8d5c-50015b5a5856;0;0;0;142;0;0;1;2;2;1;3;49;3;3;Concept stores & Miscellaneous;Leisure, Sport & Hobby;TRUE;2373;2373;L1+F;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;18760;8337;2373;10.2444444444;NA
575cebe3-2807-4dcb-8047-cf4ca9476a4d;0;57229;0;0;0;0.232244231;1;1;1;1;1;34;26.9302325581;25.8666666667;Diversified entertainment;Entertainment;TRUE;8655;9645;F;0.0833333333;20;0;0;215;257;0;0;0;37;1;1;1;1;1;1;0;42206;35336;457257;12.1927777778;1
320f1544-064f-4568-a5f0-4ed54e91483a;0;148922;0;47;0;0.969055089;1;2;2;2;2;40;33.7272727273;37.5714285714;Diversified entertainment;Entertainment;TRUE;6075;9090;Nick;0.8181818182;9;0;0;3;2;3;0;0;23;1;2;2;2;2;2;0;104643;32381;24390;21.4111111111;1
d483d718-eace-4685-ace2-c0579911f196;0;0;0;0;0;NA;NA;NA;NA;NA;NA;47;21;21.25;Diversified entertainment;Entertainment;TRUE;36985;36985;Nick;0;0;0;0;5;10;0;0;0;0;1;1;1;1;1;1;0;0;0;78620;13.3408333333;NA
c4219784-3375-4376-bb92-425be92a2144;0;0;0;0;0;NA;NA;NA;NA;NA;NA;54;NA;NA;Concept stores & Miscellaneous;Leisure, Sport & Hobby;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;18.4286111111;NA
4f39ff19-6ee4-4944-b8f1-bd075392cbfc;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;11.9486111111;NA
680194d7-598d-45f1-97b9-d1adf0fced8e;0;11205;0;0;0;0;1;2;1;1;1;53;13;NA;Diversified entertainment;Entertainment;TRUE;6180;21080;L1+F;0;0;0;0;3;9;0;0;0;0;1;1;1;0;1;1;0;2875;11160;11755;18.9097222222;NA
d67ded0b-7794-42a8-9c4f-9579e9f88830;0;0;0;0;0;NA;NA;NA;NA;NA;NA;22;9.4;8.5;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;5580;5580;F+L;0;0;0;0;5;0;0;0;0;0;1;1;1;1;1;1;0;0;0;16811;20.0897222222;NA
1ac77955-5cda-499a-a9c7-86bd81bf98f8;0;0;0;0;0;NA;NA;NA;NA;NA;NA;27;9.6;NA;General Shoes & Clothing;Clothing & Shoes;TRUE;12265;12265;F+L;0;0;0;0;5;1;0;0;0;0;1;1;1;1;1;1;0;0;0;33532;12.1597222222;NA
57eb4443-e99c-497b-8031-8a30509bafcb;0;0;0;0;0;NA;NA;NA;NA;NA;NA;57;NA;NA;Books & Magazines;Entertainment;FALSE;0;0;F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;18.3183333333;NA
81b1b877-43b0-437f-b5f2-37faa9487264;0;0;0;0;0;NA;NA;NA;NA;NA;NA;62;NA;NA;Prints & Photos;Leisure, Sport & Hobby;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;14.8833333333;NA
99f26027-f7c9-4ce8-8dcc-440c0ff17bd3;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;27.5;39;Books & Magazines;Entertainment;TRUE;6010;6010;F+L;0;0;0;0;3;1;1;0;0;0;2;1;1;2;2;2;0;0;0;17670;19.6866666667;NA
